ZTF Name,ra,dec,AV
ZTF22aaljqvb,245.6940388036404,34.928374505030284,0.045
ZTF22aanppxd,319.3379208333333,33.00316111111111,0.357
ZTF22aandowy,257.8404791666666,14.573522222222222,0.352
ZTF22aanmobm,165.17132916666665,72.77538888888888,0.158
ZTF22aalzjdc,235.7586595021976,18.07667017638212,0.102
ZTF22aambwfq,262.6810458333333,37.166225,0.124
ZTF22aalsddv,291.63445,-26.01195277777778,0.303
