ZTF Name,First Mag,Galactic Latitude,SGSCORE,Color,Type
ZTF17aaacdos,17.97883,-3.555475471,0.857208014,0.027394608688888895,CV
ZTF17aaaedpn,16.772343,-31.57768337,0.414521009,0.027394608688888895,CV
ZTF17aaaemzh,20.6873,-35.57070189,0.999167025,0.027394608688888895,CV
ZTF17aaajlbs,18.402102,66.21412295,0.974624991,0.027394608688888895,CV
ZTF17aaajlfw,16.06764,60.25597392,1.0,0.027394608688888895,CV
ZTF17aaaobyl,19.877975,-8.457114906,0.008125,0.027394608688888895,CV
ZTF17aaapome,19.571053,40.55163401,1.0,0.027394608688888895,CV
ZTF17aaaqgbm,20.233845,-21.77011719,0.979375005,0.027394608688888895,CV
ZTF17aaarlrs,18.29731,-2.500584564,0.963666975,0.027394608688888895,CV
ZTF17aaaslud,14.801689,-0.446317865,0.736265004,0.027394608688888895,CV
ZTF17aaaukqn,17.121124,11.22545412,0.672667027,0.027394608688888895,CV
ZTF17aaavfwx,18.891949,-25.22991494,0.990625024,0.027394608688888895,CV
ZTF17aaawgkc,17.038967,9.154935908,0.678957999,0.027394608688888895,CV
ZTF17aaawglf,19.001665,-23.47919579,0.761630777287293,-0.413981498,CV
ZTF17aaawpsz,17.850012,-7.305760571,0.974916995,0.295012094,CV
ZTF17aabopqx,17.1461,-17.74569576,0.992500007,0.027394608688888895,CV
ZTF17aaburzk,18.40397,9.675458843365984,0.0,0.027394608688888895,CV
ZTF17aabyrpg,16.060955,33.41306744,0.995333016,0.027394608688888895,CV
ZTF17aacbiid,15.686827,26.70105885,0.992708027,0.027394608688888895,CV
ZTF17aacklbl,17.625229,27.16086872,0.761630777287293,0.027394608688888895,CV
ZTF17aacldol,18.960384,51.8437251,0.998125017,0.027394608688888895,CV
ZTF17aacpcfv,17.486708,5.561417753,0.978208005,0.027394608688888895,CV
ZTF17aacplzj,17.0735,29.31076299,0.955187023,-0.004296541,CV
ZTF17aacucfy,19.606274,-12.9424913,0.998542011,0.027394608688888895,CV
ZTF17aadaxwu,14.103714,7.559310172,0.761630777287293,0.027394608688888895,CV
ZTF17aadnmap,20.535934,-0.479374751,0.903083026,0.027394608688888895,CV
ZTF18aaacmsd,17.284979,51.16434332,0.997500002,0.027394608688888895,CV
ZTF18aaadclg,16.2282,65.06552843,0.998749971,0.027394608688888895,CV
ZTF18aaadcme,15.602767,65.84636818,0.996667,0.157739845,CV
ZTF18aaadhmx,19.247866,64.23640949,1.0,0.027394608688888895,CV
ZTF18aaadlpa,20.3388,47.13109199,0.990396023,0.027394608688888895,CV
ZTF18aaahnyx,20.062277,24.75048059,0.997916996,0.034516646,CV
ZTF18aabeymw,20.731482,-10.98416827,1.0,0.027394608688888895,CV
ZTF18aabpwzq,16.27203,37.19219567,0.995000005,0.027394608688888895,CV
ZTF18aacluoi,20.745266,39.80500995,0.990750015,0.027394608688888895,CV
ZTF18aagqdbp,20.148977,19.48440486,0.365845,0.027394608688888895,CV
ZTF18aagsgqc,13.3606,47.17961024,0.809717,0.027394608688888895,CV
ZTF18aaicnwh,18.096651,25.27658848,0.994916975,0.027394608688888895,CV
ZTF18aaisedb,16.9466,37.82785579,0.994583011,0.027394608688888895,CV
ZTF18aaiytds,14.2714,33.15206653,0.998749971,0.027394608688888895,CV
ZTF18aajoejk,19.676764,76.47049384,0.452869,0.027394608688888895,CV
ZTF18aajrvst,16.1512,23.19743726,1.0,0.027394608688888895,CV
ZTF18aajtkma,16.4426,33.15206653,0.989708006,0.027394608688888895,CV
ZTF18aajtkma,16.4426,33.15206653,0.989708006,0.027394608688888895,CV
ZTF18aajtkma,16.4426,30.67267843,0.989708006,0.027394608688888895,CV
ZTF18aajtkma,16.4426,30.67267843,0.989708006,0.027394608688888895,CV
ZTF18aajtkma,16.4426,33.15206653,0.989708006,0.027394608688888895,CV
ZTF18aajtkma,16.4426,33.15206653,0.989708006,0.027394608688888895,CV
ZTF18aajtkma,16.4426,30.67267843,0.989708006,0.027394608688888895,CV
ZTF18aajtkma,16.4426,30.67267843,0.989708006,0.027394608688888895,CV
ZTF18aakzafr,16.044,20.75464748,0.936500013,-0.082805888,CV
ZTF18aakzfjo,14.8166,18.70372391,0.945006013,-0.0154273,CV
ZTF18aakzxki,18.9311,20.84100272,0.979887009,0.027394608688888895,CV
ZTF18aalafea,16.26175,25.24540652,0.952792,0.027394608688888895,CV
ZTF18aalrikz,20.517206,63.81626043,0.974910975,0.027394608688888895,CV
ZTF18aambkqd,19.8997,63.09796658,1.0,0.027394608688888895,CV
ZTF18aamigoo,18.4861,17.58471753,0.948707998,0.027394608688888895,CV
ZTF18aaomiig,20.8089,44.18270712,0.995582998,0.027394608688888895,CV
ZTF18aaovjvr,18.766556,32.04351082,1.0,0.098418123,CV
ZTF18aapgtye,15.898,14.27042396,0.821687996,0.027394608688888895,CV
ZTF18aaptcay,19.7992,12.79305959,0.916957974,0.027394608688888895,CV
ZTF18aaptcqq,18.1715,5.437076784,0.717481971,0.027394608688888895,CV
ZTF18aaslagi,20.4152,25.87654658,0.761630777287293,0.027394608688888895,CV
ZTF18aasncio,15.5452,-18.83494932,0.920417011,0.027394608688888895,CV
ZTF18aauebur,18.2525,9.675458843365984,0.28689301,0.027394608688888895,CV
ZTF18aauefbw,20.723,4.676846346,0.993083,0.027394608688888895,CV
ZTF18aautxxk,20.2492,65.0706823,0.995167,0.249253561,CV
ZTF18aauxwft,18.422928,41.33079404,0.986042023,0.027394608688888895,CV
ZTF18aavetqn,18.034714,16.83402231,0.611643016,0.027394608688888895,CV
ZTF18aavzjuw,17.5043,4.819578513,0.95610702,0.027394608688888895,CV
ZTF18aavzjuw,17.5043,4.819578513,0.95610702,0.027394608688888895,CV
ZTF18aavzjuw,17.5043,-5.827566064,0.95610702,0.027394608688888895,CV
ZTF18aavzjuw,17.5043,-5.827566064,0.95610702,0.027394608688888895,CV
ZTF18aavzjuw,17.5043,4.819578513,0.95610702,0.027394608688888895,CV
ZTF18aavzjuw,17.5043,4.819578513,0.95610702,0.027394608688888895,CV
ZTF18aavzjuw,17.5043,-5.827566064,0.95610702,0.027394608688888895,CV
ZTF18aavzjuw,17.5043,-5.827566064,0.95610702,0.027394608688888895,CV
ZTF18aawbluo,16.3772,-18.83494932,0.940249979,0.027394608688888895,CV
ZTF18aawrmhl,18.796951,9.675458843365984,0.624062002,-0.04277074,CV
ZTF18aawvwks,16.0714,-3.67894874,0.797106981,0.027394608688888895,CV
ZTF18aaxuzxa,18.442072,9.675458843365984,0.050416701,0.027394608688888895,CV
ZTF18aaybtnt,18.921656,-10.58680727,0.761630777287293,0.027394608688888895,CV
ZTF18aaydbyc,17.90376,9.675458843365984,0.761630777287293,0.165350643,CV
ZTF18aayoxjs,17.853237,9.675458843365984,0.394513994,0.027394608688888895,CV
ZTF18aaypnnd,18.553352,-1.960619736,0.999167025,0.027394608688888895,CV
ZTF18aazndjw,18.766905,9.675458843365984,0.01,0.027394608688888895,CV
